,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
ORVR3,ORVR3,ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,25.69,2022-01-25,19.70,30.54,9908480,1835550000,2094840000,2021-09-30,71450000,-2820,490,3634,479,199,1247,-1085,0.0%,2098,4.147,-,-091,524,37.5%,13.2%,-8.9%,5.5%,5.7%,-17.4%,166,071,041,924473000,5345000,370821000,264639000,259294000,374300000,383171000,50511000,-65085000,99841000,17451000,-2208000,,,,,,,18.0,39.0,247712.0,57.0
ENEV3,ENEV3,ON,ENEVA ON,Energia Elétrica,Energia Elétrica,12.89,2022-01-25,11.93,18.61,83290000,16323100000,22051000000,2021-09-30,1266340000,1191,190,1263,350,091,833,-276,0.0%,1171,1.706,13.0%,108,677,39.0%,27.7%,29.4%,7.2%,8.6%,16.0%,239,090,026,17846300000,2020660000,3364740000,7748540000,5727880000,8575330000,4665500000,1292840000,1370390000,1528090000,384998000,362619000,,,,,,,55.0,16.0,2082250.0,71.0
AMBP3,AMBP3,ON NM,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,36.47,2022-01-25,20.93,69.45,34921000,4118780000,5653280000,2021-09-30,112936000,3042,350,1689,282,087,549,-237,0.3%,1490,2.318,-,120,1042,21.3%,16.7%,9.8%,5.2%,6.8%,11.5%,182,213,031,4715590000,967179000,1662100000,2501680000,1534500000,1176380000,1460550000,243918000,135384000,615982000,87692000,38055000,,,,,,,39.0,33.0,873025.0,72.0
MULT3,MULT3,ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,20.41,2022-01-25,16.44,27.13,141804000,12261500000,14265200000,2021-09-30,600761000,3174,190,2212,1070,112,1246,-473,2.4%,1908,2.573,-0.5%,064,1076,77.2%,48.4%,33.7%,5.1%,5.8%,6.0%,212,049,010,10917000000,1177610000,1861290000,3181310000,2003700000,6462260000,1145570000,554317000,386351000,317086000,180350000,99404000,,,,,,,35.0,38.0,3545100.0,73.0
HYPE3,HYPE3,ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,29.46,2022-01-25,26.56,36.36,89951200,18660600000,22933200000,2021-09-30,633421000,1444,193,1158,343,093,548,-529,4.2%,1318,1.423,9.3%,204,1528,64.0%,29.6%,23.7%,8.0%,9.7%,13.4%,199,077,027,20052500000,3142480000,6842340000,7415130000,4272660000,9680530000,5445730000,1611750000,1292670000,1632640000,532140000,201704000,,,,,,,69.0,4.5,2248780.0,73.5
SQIA3,SQIA3,ON,SINQIA ON,Programas e Serviços,Programas e Serviços,16.22,2022-01-25,12.79,30.64,16129800,1426420000,1048620000,2021-09-30,87942000,12242,179,4797,464,114,251,632,0.1%,1529,3.5269999999999997,24.6%,013,908,38.9%,9.7%,4.3%,2.4%,4.8%,1.5%,656,030,025,1246680000,619632000,671219000,241829000,-377803000,798855000,307160000,29735000,11652000,92055000,16461000,2965000,,,,,,,22.0,53.0,403245.0,75.0
STBP3,STBP3,ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,6.41,2022-01-25,4.96,9.56,33285500,5530740000,4813130000,2021-09-30,862831000,3211,245,1907,409,116,598,-486,4.1%,1027,1.659,10.2%,020,262,37.7%,21.5%,12.7%,6.1%,8.2%,7.6%,317,018,028,4751090000,1126610000,1350810000,409002000,-717610000,2261990000,1351330000,290049000,172247000,396561000,103153000,66625000,,,,,,,57.0,19.0,832137.5,76.0
SBFG3,SBFG3,ON,GRUPO SBF ON,Comércio,Produtos Diversos,22.84,2022-01-25,19.73,39.52,19411700,5550070000,7333680000,2021-09-30,242998000,2478,254,1841,123,078,335,-542,0.0%,1212,2.432,66.7%,092,901,44.6%,6.7%,5.0%,4.2%,5.3%,10.2%,174,107,063,7118790000,560975000,3905060000,2344580000,1783610000,2189360000,4519840000,301498000,223974000,1491320000,169953000,221417000,,,,,,,37.0,44.0,485292.5,81.0
YDUQ3,YDUQ3,ON,YDUQS PART ON,Diversos,Serviços Educacionais,20.78,2022-01-25,18.06,35.50,59130900,6422870000,9694490000,2021-09-30,309089000,4945,192,1473,149,065,1251,-180,2.3%,867,2.224,5.7%,042,1083,54.1%,10.1%,3.0%,4.4%,5.6%,3.9%,121,154,043,9927810000,1897910000,3010860000,5169530000,3271620000,3346510000,4304070000,435990000,129880000,1098060000,158150000,72831000,,,,,,,44.0,40.5,1478272.5,84.5
PNVL3,PNVL3,ON,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos,12.68,2022-01-25,11.02,21.71,8015180,1906780000,2391290000,2021-09-30,150377000,2416,185,2519,061,085,304,2119,1.4%,1070,3.159,9.1%,052,685,30.4%,2.4%,2.5%,3.4%,4.4%,7.7%,191,067,139,2253830000,205527000,1314470000,690040000,484513000,1029350000,3135110000,75705000,78908000,802473000,21543000,15653000,,,,,,,25.0,60.5,200379.5,85.5
