,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
AALR3,AALR3,ON NM,ALLIAR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,15.99,2022-01-25,8.63,18.65,14449100,1891510000,2506640000,2021-09-30,118293000,4921,157,1501,163,073,-4203,-237,0.0%,1009,1989,-0.4%,032,1019,31.4%,10.9%,4.1%,4.8%,5.3%,3.2%,093,064,045,2604540000,152402000,566594000,767534000,615132000,1205650000,1159790000,126044000,38439000,298477000,38558000,5153000,,,,,,
ABCB3,ABCB3,ON N2,ABC Brasil ON N2,Intermediários Financeiros,Bancos,0.00,1899-12-30,0.00,0.00,0,0,-,2021-09-30,226090000,000,000,-,-,-,-,-,0.0%,-,-,-18.7%,000,000,-,-,0.0%,0.0%,-,11.4%,-,-,-,49883100000,,,,,4554960000,,,517993000,,,151460000,0,0,1006490000,342768000,147755000,98735000
ABCB4,ABCB4,PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,15.85,2022-01-25,13.52,17.73,15970200,3583530000,-,2021-09-30,226090000,692,079,-,-,-,-,-,5.8%,-,-,-18.7%,229,2015,-,-,0.0%,0.0%,-,11.4%,-,-,-,49883100000,,,,,4554960000,,,517993000,,,151460000,0,0,1006490000,342768000,147755000,98735000
ABEV3,ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,15.07,2022-01-25,13.31,18.95,352872000,237269000000,220296000000,2021-09-30,15744500000,1497,273,1518,342,176,3347,-2705,4.0%,1065,1410,9.9%,101,551,51.9%,22.5%,23.4%,11.6%,16.1%,18.3%,123,003,051,135133000000,20000700000,38197100000,3027710000,-16973000000,86771200000,69400100000,15625500000,15849700000,18492600000,3847760000,3552530000,,,,,,
ABYA3,ABYA3,ON NM,ABYARA ON NM,Construção Civil,Incorporações,4.91,2010-02-11,0.00,0.00,0,515088000,868691000,2010-03-31,104906000,-21480,176,1996,205,053,198,-275,0.0%,3367,3367,16.4%,-002,278,32.0%,10.3%,-1.0%,2.6%,2.8%,-0.8%,209,131,026,978287000,29556000,498222000,383159000,353603000,292060000,250657000,25802000,-2398000,67990000,18057000,-766000,,,,,,
ACES3,ACES3,ON,ARCELORMITTAL INOX BRASIL ON,Siderurgia e Metalurgia,Siderurgia,95.27,2008-04-18,0.00,0.00,0,7080470000,6437160000,2007-12-31,74320000,879,228,720,169,144,640,2077,0.0%,654,654,13.3%,1084,4179,32.8%,23.5%,19.3%,20.0%,26.9%,25.9%,205,009,085,4922360000,922471000,2157470000,279166000,-643305000,3105800000,4182420000,983634000,805922000,949114000,174503000,163789000,,,,,,
ACES4,ACES4,PN,ARCELORMITTAL INOX BRASIL PN,Siderurgia e Metalurgia,Siderurgia,94.73,2008-04-24,0.00,0.00,0,7040330000,6397030000,2007-12-31,74320000,874,227,716,168,143,637,2065,0.0%,650,650,13.3%,1084,4179,32.8%,23.5%,19.3%,20.0%,26.9%,25.9%,205,009,085,4922360000,922471000,2157470000,279166000,-643305000,3105800000,4182420000,983634000,805922000,949114000,174503000,163789000,,,,,,
ADHM3,ADHM3,ON,ADVANCED-DH ON,,,1.56,2020-12-28,1.07,3.24,2064,25440500,25440500,2019-09-30,16308000,-409,-129,-569,77092,10513,-143,-127,0.0%,-581,-569,43.5%,-038,-121,100.0%,-13548.5%,-18860.6%,-1847.5%,521.7%,31.5%,000,-,014,242000,0,23000,0,0,-19776000,33000,-4471000,-6224000,33000,-993000,-2492000,,,,,,
AEDU11,AEDU11,UNT,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,Diversos,Serviços Educacionais,37.35,2010-12-03,0.00,0.00,0,2720770000,3151340000,2014-06-30,437071000,2013,113,1393,140,073,577,-731,0.0%,1082,1614,20.9%,186,3316,43.2%,10.1%,7.0%,5.3%,5.8%,5.6%,204,030,052,3714530000,301371000,926990000,731941000,430570000,2415400000,1936840000,195307000,135159000,506551000,23264000,28726000,,,,,,
AEDU3,AEDU3,ON NM,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA ON NM,Diversos,Serviços Educacionais,18.35,2014-07-03,0.00,0.00,0,8020250000,8450820000,2014-06-30,437071000,5934,332,4106,414,216,1700,-2155,0.0%,2901,4327,20.9%,031,553,43.2%,10.1%,7.0%,5.3%,5.8%,5.6%,204,030,052,3714530000,301371000,926990000,731941000,430570000,2415400000,1936840000,195307000,135159000,506551000,23264000,28726000,,,,,,
